ScenarioTime,segment_id,ScenarioTime_start,ScenarioTime_end,ScenarioTime_mid,start_time,end_time,duration_sec,n_frames,movement_state_v3,head_state_v3,hand_state_v3,mean_ped_speed_xz_smooth,mean_ped_accel_xz_smooth,mean_car_ped_distance_xz,mean_distance_closing,mean_hesitation_score_v3,mean_yield_score_v3,ped_behavior_phrase_v3
0.0,0,0.0,1.109375,0.5546875,0.0,1.109375,1.109375,22,slowing_to_stop,head_forward,hand_not_available,0.1864721710001925,0.03946493647435653,72.46897959645912,0.002607849801078715,0.23037519472062576,0.21390266967507462,slowing_to_stop + head_forward
1.161621,1,1.161621,6.584473,3.873047,1.161621,6.584473,5.422852,116,steady_walking,head_turning_or_scanning,hand_not_available,0.22855018876358793,-0.01674734048931749,70.89338546671888,0.06986241542922308,0.24741099362185667,0.21451599803764368,steady_walking + head_turning_or_scanning
6.644287,2,6.644287,10.705322,8.6748045,6.644287,10.705322,4.061035,94,near_stopped,head_forward,hand_not_available,0.10383892975996536,0.034142623117686365,53.19908619314666,0.2556055350585091,0.5185262950609647,0.5047450246187531,near_stopped + head_forward
10.750488,3,10.750488,13.533691,12.1420895,10.750488,13.533691,2.7832029999999985,62,slowing_to_stop,head_turning_or_scanning,hand_not_available,0.47196393652823637,0.08609076942687591,30.345575123369432,0.32597187626391055,0.28888201435564237,0.2513253829865983,slowing_to_stop + head_turning_or_scanning
13.574463,4,13.574463,14.152588,13.8635255,13.574463,14.152588,0.578125,11,speeding_up,head_turning_or_scanning,hand_not_available,0.7961967202719581,0.49114479900136376,17.909252677480964,0.37305593204697,0.2,0.2,speeding_up + head_turning_or_scanning
14.210205,5,14.210205,26.343018,20.2766115,14.210205,26.343018,12.132813,261,steady_walking,head_forward,hand_not_available,0.9798615660699856,0.017441990629496203,20.404317861258054,-0.0641996996255631,0.07710464733599752,0.06256278117679141,steady_walking + head_forward
