macro_segment_id,macro_label,tag_dimension,tag_type,tag,count,total_duration_sec,mean_duration_sec,first_start_time_sec,last_end_time_sec,speed_mean,distance_min,macro_duration_sec,percent_of_macro_segment
0,pre_movement_low_motion,motion,inferred,mixed_motion,4,4.752440999999999,1.1881102499999998,0.0,6.727295,0.2052947430266775,63.74443051890153,8.205321999999999,57.9190067129602
0,pre_movement_low_motion,car_context,observable,neutral,7,8.205322,1.1721888571428571,0.0,8.205322,0.18657269746742702,56.20699973989935,8.205321999999999,100.00000000000003
0,pre_movement_low_motion,head,observable,head_active,7,8.205322,1.1721888571428571,0.0,8.205322,0.18657269746742702,56.20699973989935,8.205321999999999,100.00000000000003
0,pre_movement_low_motion,motion,observable,speed_steady,1,1.44165,1.44165,1.475342,2.916992,0.3027616997239394,72.5682355254978,8.205321999999999,17.569694400780378
0,pre_movement_low_motion,motion,observable,near_stationary,1,0.533204,0.533204,3.439941,3.973145,0.13007162845307044,72.02028736845335,8.205321999999999,6.498270268979085
0,pre_movement_low_motion,motion,observable,pausing,1,1.4780270000000009,1.4780270000000009,6.727295,8.205322,0.051996581988269334,56.20699973989935,8.205321999999999,18.01302861728036
1,acceleration,motion,inferred,mixed_motion,1,1.5837400000000006,1.5837400000000006,9.121582,10.705322,0.18469726188504626,40.35288520620215,4.069092,38.92121387277556
1,acceleration,car_context,observable,neutral,3,4.0690919999999995,1.356364,8.205322,12.274414,0.19009066217165313,29.473384324657545,4.069092,99.99999999999997
1,acceleration,head,observable,head_active,3,4.0690919999999995,1.356364,8.205322,12.274414,0.19009066217165313,29.473384324657545,4.069092,99.99999999999997
1,acceleration,motion,observable,pausing,1,0.9162599999999994,0.9162599999999994,8.205322,9.121582,0.050646054714638324,50.78016035630484,4.069092,22.517554284837978
1,acceleration,motion,observable,speed_increasing,1,1.5690919999999995,1.5690919999999995,10.705322,12.274414,0.33492866991527476,29.473384324657545,4.069092,38.56123184238644
2,crossing_near_car,car_context,inferred,proceeding,3,4.889892999999999,1.629964333333333,13.392822,19.75,0.8825624803282069,4.7902679422619485,7.475585999999998,65.4115008509032
2,crossing_near_car,car_context,inferred,yielding,2,1.0437010000000004,0.5218505000000002,14.887207,16.354492,0.8988492596780022,5.615915367026652,7.475585999999998,13.961460680139332
2,crossing_near_car,head,inferred,head_checking,1,0.38500900000000016,0.38500900000000016,13.007813,13.392822,0.6874558128100036,21.180718024968957,7.475585999999998,5.150218324021692
2,crossing_near_car,car_context,observable,neutral,2,1.1184080000000005,0.5592040000000003,12.274414,13.392822,0.6669762268283058,21.180718024968957,7.475585999999998,14.960807085892677
2,crossing_near_car,head,observable,head_active,4,5.623291999999999,1.4058229999999998,12.274414,19.75,0.8235460204578071,4.7902679422619485,7.475585999999998,75.22208961277417
2,crossing_near_car,head,observable,head_still,2,1.0437010000000004,0.5218505000000002,14.887207,16.354492,0.8988492596780022,5.615915367026652,7.475585999999998,13.961460680139332
2,crossing_near_car,motion,observable,speed_increasing,4,5.623291999999999,1.4058229999999998,12.274414,19.75,0.8235460204578071,4.7902679422619485,7.475585999999998,75.22208961277417
2,crossing_near_car,motion,observable,speed_decreasing,3,1.4287100000000006,0.47623666666666686,13.007813,16.354492,0.8283847773886693,5.615915367026652,7.475585999999998,19.111679004161026
3,deceleration,head,inferred,head_checking,1,0.37670900000000174,0.37670900000000174,23.530029,23.906738,1.1247309279038855,32.67090756007727,5.713135000000001,6.593735313448775
3,deceleration,car_context,observable,neutral,6,5.5444330000000015,0.9240721666666669,19.75,25.463135,1.014961795183631,17.920991491464193,5.713135000000001,97.04712036386327
3,deceleration,head,observable,head_active,5,5.167724,1.0335448,19.75,25.463135,0.99300796863958,17.920991491464193,5.713135000000001,90.4533850504145
3,deceleration,motion,observable,speed_decreasing,2,1.274168999999997,0.6370844999999985,19.75,23.530029,0.9248763960766784,17.920991491464193,5.713135000000001,22.302448655597964
3,deceleration,motion,observable,speed_increasing,2,1.0092770000000044,0.5046385000000022,20.825684,23.906738,1.1052150348871181,23.33675457382994,5.713135000000001,17.66590497161373
3,deceleration,motion,observable,speed_steady,2,3.260987,1.6304935,21.458252,25.463135,1.014793954587096,26.04064908075649,5.713135000000001,57.07876673665158
4,post_movement_low_motion,car_context,observable,neutral,1,0.8798829999999995,0.8798829999999995,25.463135,26.343018,1.0618641955492722,32.76328536324011,0.8798829999999995,100.0
4,post_movement_low_motion,head,observable,head_active,1,0.8798829999999995,0.8798829999999995,25.463135,26.343018,1.0618641955492722,32.76328536324011,0.8798829999999995,100.0
4,post_movement_low_motion,motion,observable,speed_increasing,1,0.8798829999999995,0.8798829999999995,25.463135,26.343018,1.0618641955492722,32.76328536324011,0.8798829999999995,100.0
