macro_segment_id,boundary_idx,boundary_time_sec,change_score,boundary_source
0,0,0.0,1.2145732768115587,macro_start
0,28,1.475342,0.0,long_segment_split
0,58,2.916992,0.0,hesitation_speed_dip
0,70,3.439941,0.908643960349622,hesitation_speed_dip
0,82,3.973145,0.0,hesitation_speed_dip
0,99,4.708008,0.0,hesitation_speed_dip
0,140,6.727295,0.1776822448876656,pause_speed_run
0,175,8.205322,0.0,macro_end|pause_speed_run
1,175,8.205322,0.8359573009334973,macro_start|pause_speed_run
1,196,9.121582,0.0,pause_speed_run
1,231,10.705322,0.9257739435587717,long_segment_split
1,266,12.274414,0.0,macro_end
2,266,12.274414,0.0,macro_start
2,281,13.007813,0.10899298215272137,hesitation_speed_dip
2,290,13.392822,1.0355971923577671,hesitation_speed_dip
2,319,14.887207,0.0,hesitation_speed_dip
2,328,15.362305,0.3159681213287202,hesitation_speed_dip
2,332,15.580078,0.5804503605241748,hesitation_speed_dip
2,337,15.785889,0.2764573490471798,hesitation_speed_dip
2,349,16.354492,0.9060413033194218,hesitation_speed_dip
2,376,17.623779,0.07438592710348688,hesitation_speed_dip
2,423,19.75,2.090526687373781,macro_end
3,423,19.75,0.0,hesitation_speed_dip|macro_start
3,440,20.656982,1.4954403938862524,hesitation_speed_dip
3,444,20.825684,1.0172630123824116,hesitation_speed_dip
3,456,21.458252,0.3107521156941369,hesitation_speed_dip
3,492,23.162842,0.0,hesitation_speed_dip
3,500,23.530029,0.4313015906666171,hesitation_speed_dip
3,509,23.906738,1.0969263362314996,hesitation_speed_dip
3,545,25.463135,0.31236383941765977,macro_end
4,545,25.463135,0.05437559428775796,macro_start
4,565,26.343018,0.0,macro_end
